flight,date,time
BCS7017,2022-12-03,00:00:02
RYR3DW,2022-12-03,00:00:02
RYR6MP,2022-12-03,00:00:02
BCS2961,2022-12-03,00:03:02
MSR996,2022-12-03,00:04:02
BCS465,2022-12-03,00:19:02
MABJA,2022-12-03,00:50:02
MNB225,2022-12-03,00:55:03
WUK112B,2022-12-03,01:03:02
UPS214,2022-12-03,01:08:02
MNB601,2022-12-03,01:24:02
RYR68TM,2022-12-03,01:26:02
GTI4705,2022-12-03,01:35:02
ETH3806,2022-12-03,01:51:02
DHK462,2022-12-03,02:08:02
WUK632,2022-12-03,02:24:02
CHG552,2022-12-03,02:27:02
LDX344C,2022-12-03,02:31:02
QTR8134,2022-12-03,02:45:02
DLH423,2022-12-03,03:05:02
BCS19U,2022-12-03,03:13:02
ETH574,2022-12-03,03:18:02
UPS208,2022-12-03,03:20:02
NPT5EF,2022-12-03,03:34:02
UAE6MR,2022-12-03,03:36:02
ETH500,2022-12-03,03:48:02
ETH552,2022-12-03,03:57:02
AFR271,2022-12-03,04:03:02
GCK18,2022-12-03,04:16:02
BAW58L,2022-12-03,04:23:02
VIR450,2022-12-03,04:25:02
BAW74,2022-12-03,04:27:02
SWR11E,2022-12-03,04:31:02
CFG3867,2022-12-03,04:42:02
QFA9,2022-12-03,04:43:02
CPA251,2022-12-03,04:52:02
TAY010,2022-12-03,05:01:02
THT8,2022-12-03,05:02:02
BAW56,2022-12-03,05:03:02
KAC118,2022-12-03,05:04:02
BAW64M,2022-12-03,05:07:02
TAY4617,2022-12-03,05:13:02
BAW16,2022-12-03,05:18:02
UAL106,2022-12-03,05:18:02
BAW32F,2022-12-03,05:20:02
BAW262,2022-12-03,05:25:02
MUSIK,2022-12-03,05:26:02
UAL30,2022-12-03,05:26:02
BAW12,2022-12-03,05:28:02
DAL232,2022-12-03,05:31:02
UAL52,2022-12-03,05:32:02
MAS2,2022-12-03,05:32:02
N909JC,2022-12-03,05:33:02
MSR986,2022-12-03,05:34:02
CFG3843,2022-12-03,05:35:02
SIA322,2022-12-03,05:43:02
JBU1620,2022-12-03,05:43:02
BAW250,2022-12-03,05:44:02
BAW78,2022-12-03,05:47:02
AIC171,2022-12-03,05:49:02
ANGOLA2,2022-12-03,05:50:02
TRA6455,2022-12-03,05:51:02
BAW106,2022-12-03,05:54:02
QTR37U,2022-12-03,05:54:02
BAW25GP,2022-12-03,05:55:02
UPS210,2022-12-03,05:56:02
QTR88A,2022-12-03,05:57:02
DAL220,2022-12-03,05:59:02
DHK078,2022-12-03,06:01:02
JBU2143,2022-12-03,06:03:02
BAW124,2022-12-03,06:03:02
TRA5683,2022-12-03,06:04:02
ETD89G,2022-12-03,06:05:02
UAL958,2022-12-03,06:07:02
QTR8164,2022-12-03,06:07:02
BAW9E,2022-12-03,06:08:02
TAP63V,2022-12-03,06:09:02
THA910,2022-12-03,06:09:02
BAW40F,2022-12-03,06:10:02
BAW5CA,2022-12-03,06:11:02
QTR3056,2022-12-03,06:11:02
AAL20,2022-12-03,06:12:02
BAW42,2022-12-03,06:12:02
EZY654U,2022-12-03,06:13:02
CPA255,2022-12-03,06:13:02
SWR79MG,2022-12-03,06:16:02
DLH403,2022-12-03,06:17:02
WUK5677,2022-12-03,06:17:02
AUA4M,2022-12-03,06:18:02
UAE3JF,2022-12-03,06:18:02
CFG2017,2022-12-03,06:21:02
KLM1058,2022-12-03,06:23:02
AFR681,2022-12-03,06:23:02
KLM1046,2022-12-03,06:23:02
BAW472,2022-12-03,06:24:02
BAW389,2022-12-03,06:24:02
BAW32N,2022-12-03,06:24:02
BCS301,2022-12-03,06:25:03
MAU42,2022-12-03,06:25:03
AFR007,2022-12-03,06:26:02
QFA1,2022-12-03,06:26:02
RYR71LX,2022-12-03,06:27:02
KQA102,2022-12-03,06:27:02
AAL198,2022-12-03,06:28:02
BAW2CM,2022-12-03,06:28:02
ETH700,2022-12-03,06:29:02
RYR8LV,2022-12-03,06:31:02
AAR587,2022-12-03,06:31:02
AAL100,2022-12-03,06:31:02
BAW138,2022-12-03,06:32:02
DAL98,2022-12-03,06:32:02
AFR055,2022-12-03,06:33:03
SVA111,2022-12-03,06:34:02
AFR93ZV,2022-12-03,06:35:02
RYR2LH,2022-12-03,06:36:02
BAW6W,2022-12-03,06:36:02
NOZ64W,2022-12-03,06:36:02
ACA832,2022-12-03,06:39:02
BAW20R,2022-12-03,06:40:02
RYR5XM,2022-12-03,06:41:02
AFR159,2022-12-03,06:41:02
ACA854,2022-12-03,06:41:02
BAW18B,2022-12-03,06:41:02
EXS56WG,2022-12-03,06:41:02
EZY58ZR,2022-12-03,06:42:02
WZZ84YK,2022-12-03,06:42:02
VIR118,2022-12-03,06:43:03
BEL52B,2022-12-03,06:43:03
RYR5ZT,2022-12-03,06:43:03
UAL134,2022-12-03,06:44:02
UAL918,2022-12-03,06:44:02
BCS464,2022-12-03,06:45:02
VIR104L,2022-12-03,06:45:02
DAL16,2022-12-03,06:46:02
AFR92HH,2022-12-03,06:47:02
AFR137,2022-12-03,06:47:02
