flight,date,time
RUK9LM,2022-11-04,00:03:02
CHG592,2022-11-04,00:24:02
RYR17KJ,2022-11-04,00:26:02
GTI8355,2022-11-04,00:34:02
WUK112B,2022-11-04,00:35:02
CLX49A,2022-11-04,00:43:02
N1911W,2022-11-04,01:39:02
ABX957,2022-11-04,01:51:02
RRR2100,2022-11-04,02:14:02
BCS92L,2022-11-04,02:25:02
BCS6YG,2022-11-04,02:28:02
UPS229,2022-11-04,02:38:02
IMX112,2022-11-04,03:00:02
DLH423,2022-11-04,03:08:02
ETH574,2022-11-04,03:27:02
ETH500,2022-11-04,03:35:02
DLH401,2022-11-04,03:40:02
KAC118,2022-11-04,03:40:02
ETH552,2022-11-04,03:52:02
FPO4294,2022-11-04,03:54:02
BCS385,2022-11-04,04:41:02
LOT6506,2022-11-04,04:54:02
ETH3511,2022-11-04,04:56:02
IMX359,2022-11-04,05:01:02
CLX81K,2022-11-04,05:20:02
N8762M,2022-11-04,05:22:02
ETH3518,2022-11-04,05:25:02
TOM808P,2022-11-04,05:25:02
UAL989,2022-11-04,05:28:02
OCN51,2022-11-04,05:29:02
BAW25GP,2022-11-04,05:30:02
BAW2CM,2022-11-04,05:37:02
AUA88,2022-11-04,05:39:02
JBU1620,2022-11-04,05:40:02
TVF61NR,2022-11-04,05:43:02
N91MS,2022-11-04,05:47:02
ACA844,2022-11-04,05:49:02
VPBLU,2022-11-04,05:51:02
UAL918,2022-11-04,05:52:03
DLH419,2022-11-04,05:52:03
BAW9E,2022-11-04,05:52:03
AUA94,2022-11-04,05:53:02
GTI4714,2022-11-04,05:53:02
AAL20,2022-11-04,05:53:02
DLH411,2022-11-04,05:54:02
DAL86,2022-11-04,05:55:02
ETH700,2022-11-04,05:55:02
DAL258,2022-11-04,05:57:02
AIC161,2022-11-04,05:58:02
BAW40F,2022-11-04,05:58:02
DLH431,2022-11-04,05:59:02
DAL140,2022-11-04,06:03:02
DAL72,2022-11-04,06:03:02
OCN079,2022-11-04,06:10:02
BCS3TW,2022-11-04,06:12:02
UAL950,2022-11-04,06:13:02
VIR104L,2022-11-04,06:15:02
SWR79MG,2022-11-04,06:15:02
BAW246,2022-11-04,06:16:02
DAL134,2022-11-04,06:16:02
AAL704,2022-11-04,06:17:02
DLH403,2022-11-04,06:18:02
AUA4M,2022-11-04,06:18:02
BAW6W,2022-11-04,06:19:02
DLH445,2022-11-04,06:19:02
ACA832,2022-11-04,06:20:02
BEL52B,2022-11-04,06:22:02
SHT4A,2022-11-04,06:22:02
EZY58ZR,2022-11-04,06:24:02
UAL999,2022-11-04,06:25:02
WUK48,2022-11-04,06:27:02
