flight,date,time
RUK1365,2021-07-07,00:00:02
THY4,2021-07-07,00:20:02
MPH7121,2021-07-07,00:31:02
AZD491,2021-07-07,01:17:02
RRR5719,2021-07-07,01:30:02
BCS6TL,2021-07-07,02:05:02
QTR8150,2021-07-07,02:33:02
BCS78G,2021-07-07,02:34:02
AAL160,2021-07-07,02:40:02
BCS923,2021-07-07,03:07:02
BCS76P,2021-07-07,03:20:03
DLH401,2021-07-07,03:24:02
CLU5296,2021-07-07,03:26:02
FDX5047,2021-07-07,03:34:02
AAL145,2021-07-07,03:36:02
BID103,2021-07-07,03:36:02
FDX5204,2021-07-07,03:48:02
ETH500,2021-07-07,03:51:02
ETH574,2021-07-07,04:14:02
ABR7BN,2021-07-07,04:15:02
TAY4109,2021-07-07,04:23:02
DLH423,2021-07-07,04:52:02
CHG531,2021-07-07,04:54:02
IMX359,2021-07-07,05:05:02
TRA48N,2021-07-07,05:49:02
AFR351,2021-07-07,05:50:02
UAL989,2021-07-07,05:50:02
UAL106,2021-07-07,05:52:02
AAL100,2021-07-07,05:52:02
DLH471,2021-07-07,05:58:02
BAW158,2021-07-07,06:06:02
TAP1363,2021-07-07,06:09:02
AAL86,2021-07-07,06:14:02
MLT461,2021-07-07,06:14:02
AAL70,2021-07-07,06:15:02
EXS5CF,2021-07-07,06:16:02
BAW294,2021-07-07,06:18:02
QTR8158,2021-07-07,06:18:02
AFR88CE,2021-07-07,06:21:02
UAL918,2021-07-07,06:21:02
BAW254,2021-07-07,06:25:02
KLM1000,2021-07-07,06:26:02
BAW2644,2021-07-07,06:31:02
TRA97B,2021-07-07,06:33:02
TOM3GX,2021-07-07,06:35:02
DLH419,2021-07-07,06:37:02
DLH2U,2021-07-07,06:38:02
RYR2HP,2021-07-07,06:40:02
TWG151,2021-07-07,06:41:02
OEGGG,2021-07-07,06:43:02
BEL2184,2021-07-07,06:43:02
DLH983,2021-07-07,06:43:02
ACA896,2021-07-07,06:43:02
TFL689,2021-07-07,06:45:02
EZY19XP,2021-07-07,06:46:02
BEL2D,2021-07-07,06:47:02
RYR3128,2021-07-07,06:50:02
RYR5NA,2021-07-07,06:51:02
RYR331,2021-07-07,06:52:02
AFR13YK,2021-07-07,06:54:02
DAL32,2021-07-07,06:55:02
RYR5EG,2021-07-07,06:55:02
BEL516,2021-07-07,06:56:02
EIN40G,2021-07-07,06:59:02
EXS7DF,2021-07-07,06:59:02
TRA241K,2021-07-07,07:00:02
RYR397N,2021-07-07,07:01:02
EZY52AQ,2021-07-07,07:02:02
UAL952,2021-07-07,07:04:02
EZY3585,2021-07-07,07:05:02
BCS922,2021-07-07,07:06:02
BAW9155,2021-07-07,07:06:02
AAL730,2021-07-07,07:07:02
TOM7HM,2021-07-07,07:07:02
SAS1817,2021-07-07,07:09:02
UAL194,2021-07-07,07:11:02
ABB132,2021-07-07,07:13:02
VIR6J,2021-07-07,07:15:02
RYR7KY,2021-07-07,07:15:02
SAS6003,2021-07-07,07:15:02
NAX8AG,2021-07-07,07:17:02
MDI12,2021-07-07,07:18:02
BAW492U,2021-07-07,07:18:02
RYR87QM,2021-07-07,07:19:02
EXS41FZ,2021-07-07,07:19:02
RYR2SA,2021-07-07,07:21:02
NAX75Z,2021-07-07,07:21:02
AAL736,2021-07-07,07:24:02
RYR63AZ,2021-07-07,07:26:02
AAL108,2021-07-07,07:26:02
N9FJ,2021-07-07,07:27:02
BAW40F,2021-07-07,07:28:02
SHT6C,2021-07-07,07:29:02
BAW564Y,2021-07-07,07:30:02
RYR5KH,2021-07-07,07:30:02
ABB112,2021-07-07,07:32:02
ICV72W,2021-07-07,07:34:02
RYR54FP,2021-07-07,07:34:02
MSPOR,2021-07-07,07:35:02
RYR70FH,2021-07-07,07:35:02
UAL58,2021-07-07,07:36:02
DLH425,2021-07-07,07:36:02
EIN52A,2021-07-07,07:38:02
UAL907,2021-07-07,07:39:02
UAL931,2021-07-07,07:39:02
RYR6KF,2021-07-07,07:40:02
EZY73VA,2021-07-07,07:40:02
ACA80,2021-07-07,07:41:02
BAW2767,2021-07-07,07:41:02
RYR15KX,2021-07-07,07:42:02
BAW500,2021-07-07,07:43:02
BAW71MA,2021-07-07,07:45:02
EXS24F,2021-07-07,07:46:02
BAW2692,2021-07-07,07:47:02
TOM15A,2021-07-07,07:47:02
FDX25,2021-07-07,07:47:02
SHT86L,2021-07-07,07:47:02
LOG8YJ,2021-07-07,07:49:02
SHT88P,2021-07-07,07:51:02
EXS5PN,2021-07-07,07:51:02
SHT7S,2021-07-07,07:52:02
BAW846W,2021-07-07,07:54:02
ABB121,2021-07-07,07:54:02
EZY47UG,2021-07-07,07:57:02
BAW226,2021-07-07,07:58:02
BAW477,2021-07-07,07:59:02
RYR4QZ,2021-07-07,08:00:02
N221HJ,2021-07-07,08:02:02
VIR4C,2021-07-07,08:07:02
NJE700Q,2021-07-07,08:08:02
RUK3556,2021-07-07,08:09:02
ACA856,2021-07-07,08:10:02
EIN432,2021-07-07,08:11:02
EZY131R,2021-07-07,08:12:02
RYR4HU,2021-07-07,08:13:02
VKG1186,2021-07-07,08:14:02
FLJ62L,2021-07-07,08:15:02
N501HM,2021-07-07,08:16:02
LNX32GC,2021-07-07,08:16:02
BAW4PV,2021-07-07,08:16:02
EZY928N,2021-07-07,08:17:02
VSB01,2021-07-07,08:18:02
AHO784J,2021-07-07,08:19:02
SHT13C,2021-07-07,08:20:02
BAW165,2021-07-07,08:21:02
IBE31PL,2021-07-07,08:21:02
EZY59LF,2021-07-07,08:21:02
SHT2L,2021-07-07,08:23:02
VKG1216,2021-07-07,08:25:02
EIN154,2021-07-07,08:26:02
MPORT,2021-07-07,08:28:02
EZY924L,2021-07-07,08:29:02
EIN9RV,2021-07-07,08:29:02
EXS96BL,2021-07-07,08:29:02
AHO283T,2021-07-07,08:30:02
MMD6672,2021-07-07,08:30:02
TWY500,2021-07-07,08:31:02
EXS3RU,2021-07-07,08:32:02
RYR8SV,2021-07-07,08:34:02
RYR775W,2021-07-07,08:34:02
ACA7210,2021-07-07,08:35:02
BAW80G,2021-07-07,08:35:02
BAW548,2021-07-07,08:36:02
HKY69,2021-07-07,08:36:02
TOM11K,2021-07-07,08:38:02
BAW726P,2021-07-07,08:39:02
KLM71F,2021-07-07,08:39:02
NJE604D,2021-07-07,08:39:02
RYR16WT,2021-07-07,08:40:02
RYR26HH,2021-07-07,08:41:02
NJE9QL,2021-07-07,08:42:02
QTR6HB,2021-07-07,08:42:02
SHT9U,2021-07-07,08:44:02
SGC001,2021-07-07,08:44:02
ETD12,2021-07-07,08:46:02
NJE455R,2021-07-07,08:47:02
SHT9V,2021-07-07,08:49:02
JTD217,2021-07-07,08:50:02
BAW430,2021-07-07,08:52:02
BAW828Y,2021-07-07,08:53:02
2TEAM,2021-07-07,08:54:02
AFR065,2021-07-07,08:55:02
KLM1711,2021-07-07,08:55:02
SHT18LA,2021-07-07,08:56:02
EZY787P,2021-07-07,08:56:02
AFR673,2021-07-07,08:57:02
TFL386,2021-07-07,08:59:02
KLM749,2021-07-07,09:03:02
LOG552,2021-07-07,09:04:02
VCG1AZ,2021-07-07,09:04:02
DLH7KW,2021-07-07,09:05:02
KLM733,2021-07-07,09:06:02
VIR166G,2021-07-07,09:06:02
QTR294E,2021-07-07,09:07:02
LOG48RG,2021-07-07,09:07:02
BAW98,2021-07-07,09:08:02
RYR961W,2021-07-07,09:09:02
AAL38,2021-07-07,09:10:02
BAW15PZ,2021-07-07,09:11:02
THY6194,2021-07-07,09:13:02
AAL109,2021-07-07,09:14:02
UAL182,2021-07-07,09:15:02
SVW72VP,2021-07-07,09:15:02
AUA4ML,2021-07-07,09:16:02
EDY05,2021-07-07,09:16:02
RYR30YV,2021-07-07,09:19:02
NJE044C,2021-07-07,09:19:02
SHT3N,2021-07-07,09:21:02
EZY782V,2021-07-07,09:25:02
BAW604P,2021-07-07,09:26:02
BAW48G,2021-07-07,09:28:02
BAW18A,2021-07-07,09:29:02
BAW2KP,2021-07-07,09:30:02
DLH953,2021-07-07,09:30:02
RYR94FR,2021-07-07,09:30:02
NJE577W,2021-07-07,09:33:02
ABB5965,2021-07-07,09:34:02
RYR8LQ,2021-07-07,09:35:02
KLM741,2021-07-07,09:37:02
ACA7238,2021-07-07,09:37:02
BAW620,2021-07-07,09:38:02
KLM791,2021-07-07,09:38:02
AZE19TA,2021-07-07,09:39:02
SHT8K,2021-07-07,09:39:02
DLH6U,2021-07-07,09:40:02
QTR09H,2021-07-07,09:41:02
BAW484C,2021-07-07,09:42:02
SHT12H,2021-07-07,09:44:02
BAW34N,2021-07-07,09:44:02
AHO820T,2021-07-07,09:45:02
SIA305,2021-07-07,09:45:02
BAW24R,2021-07-07,09:45:02
N233CL,2021-07-07,09:45:02
BAW6MK,2021-07-07,09:47:02
KLM755,2021-07-07,09:47:02
VCJ99A,2021-07-07,09:48:02
RYR45MW,2021-07-07,09:48:02
KLM1049,2021-07-07,09:48:02
RVR12T,2021-07-07,09:48:02
BAW712,2021-07-07,09:50:02
GTI8038,2021-07-07,09:51:02
TAP1356,2021-07-07,09:52:02
BAW572,2021-07-07,09:52:02
UAE238,2021-07-07,09:54:02
AAL101,2021-07-07,09:54:02
EIN15N,2021-07-07,09:57:02
SAS2837,2021-07-07,09:59:02
VIR8F,2021-07-07,10:00:03
CFG2144,2021-07-07,10:01:02
N240V,2021-07-07,10:01:02
EIN93C,2021-07-07,10:02:02
VJT796,2021-07-07,10:03:02
SAS1819,2021-07-07,10:04:02
BAW59T,2021-07-07,10:05:02
LNX94TC,2021-07-07,10:07:02
JAL42,2021-07-07,10:08:02
AIC162,2021-07-07,10:10:02
EXS7YG,2021-07-07,10:11:02
KLM736,2021-07-07,10:12:02
BAW814,2021-07-07,10:13:02
