flight,date,time
WZZ309,2021-08-03,00:23:02
EZY79EU,2021-08-03,00:23:02
TOM17T,2021-08-03,00:35:03
AEE631,2021-08-03,01:20:02
EXS6EM,2021-08-03,01:23:02
ASL501,2021-08-03,01:23:02
WUK8130,2021-08-03,01:26:02
BCS78G,2021-08-03,02:42:02
DLH401,2021-08-03,02:57:02
FDX95,2021-08-03,03:24:02
RJA42D,2021-08-03,03:33:02
BID103,2021-08-03,03:37:02
UKP037,2021-08-03,03:37:02
BCS2886,2021-08-03,03:44:02
DLH443,2021-08-03,03:49:02
DLH1593,2021-08-03,03:55:02
N257A,2021-08-03,03:58:02
DLH423,2021-08-03,04:18:02
VIR207,2021-08-03,04:37:02
ACA840,2021-08-03,04:48:02
DAL202,2021-08-03,04:48:02
THY181,2021-08-03,04:49:02
CPA251,2021-08-03,04:55:02
DLH479,2021-08-03,04:56:02
DLH445,2021-08-03,04:58:02
UAL989,2021-08-03,05:05:02
DLH431,2021-08-03,05:08:02
SIA322,2021-08-03,05:21:02
BAW40F,2021-08-03,05:21:02
BEL52B,2021-08-03,05:23:02
UAL950,2021-08-03,05:26:02
BAW12,2021-08-03,05:33:02
DLH419,2021-08-03,05:34:02
IFA6265,2021-08-03,05:44:02
BAW78,2021-08-03,05:45:02
UAL999,2021-08-03,05:50:03
BAW124,2021-08-03,05:53:02
VIR4C,2021-08-03,05:54:02
AAL100,2021-08-03,05:55:02
VIR450,2021-08-03,05:56:02
VIR12E,2021-08-03,05:58:02
SVA107,2021-08-03,05:58:02
BAW74,2021-08-03,05:59:02
