flight,date,time
FDX5220,2024-07-21,00:00:03
VIR411Y,2024-07-21,00:04:02
MEA204,2024-07-21,00:14:02
EZY29XZ,2024-07-21,00:14:02
EZY15WL,2024-07-21,00:20:02
RYR8ZG,2024-07-21,00:22:02
ETD69K,2024-07-21,00:23:02
RUK587N,2024-07-21,00:24:02
ALK504,2024-07-21,00:27:02
RYR30EX,2024-07-21,00:28:02
QTR57K,2024-07-21,00:29:02
RYR2686,2024-07-21,00:29:02
RYR20UA,2024-07-21,00:34:02
RYR6FT,2024-07-21,00:35:02
VLG5LJ,2024-07-21,00:41:02
EIN46L,2024-07-21,00:45:02
THY6TF,2024-07-21,00:45:02
EZY71UM,2024-07-21,00:46:02
TOM76M,2024-07-21,00:47:02
RUK86YX,2024-07-21,00:49:02
RYR80WU,2024-07-21,00:56:02
EZY85BA,2024-07-21,00:58:02
RYR436U,2024-07-21,00:58:02
EZY87EY,2024-07-21,01:01:02
TOM825,2024-07-21,01:10:02
RYR1887,2024-07-21,01:10:02
EXS5UG,2024-07-21,01:11:02
EXS2BK,2024-07-21,01:12:02
EZY72GR,2024-07-21,01:14:02
WUK95NE,2024-07-21,01:16:02
EXS89CK,2024-07-21,01:28:02
RYR19ZF,2024-07-21,01:31:02
EZY48NU,2024-07-21,01:40:02
EXS73BU,2024-07-21,01:42:02
EXS5RB,2024-07-21,01:45:02
RYR6WN,2024-07-21,01:55:02
TOM85L,2024-07-21,01:58:02
EZY76EH,2024-07-21,01:58:02
RUK6920,2024-07-21,02:28:02
EXS64RW,2024-07-21,02:28:02
RYR1953,2024-07-21,02:30:02
RUK4TM,2024-07-21,02:53:02
DLH417,2024-07-21,02:58:02
EZY78HD,2024-07-21,02:58:02
EZY86YA,2024-07-21,03:01:02
CFG2039,2024-07-21,03:02:02
EZY29CD,2024-07-21,03:05:02
DLH401,2024-07-21,03:12:02
EZY79RN,2024-07-21,03:15:02
EXS8DF,2024-07-21,03:15:02
TOM83M,2024-07-21,03:20:02
EXS78PB,2024-07-21,03:30:02
EZY12DN,2024-07-21,03:43:02
AFR293,2024-07-21,03:50:02
DLH409,2024-07-21,04:02:02
AAL716,2024-07-21,04:07:02
ICE48P,2024-07-21,04:08:02
EZY91BU,2024-07-21,04:12:02
TOM7WK,2024-07-21,04:15:02
DLH437,2024-07-21,04:21:02
TVF82XR,2024-07-21,04:23:02
UAL30,2024-07-21,04:28:02
ACA898,2024-07-21,04:30:02
CFG2017,2024-07-21,04:32:02
OCN75,2024-07-21,04:32:02
EXS1508,2024-07-21,04:35:02
AUA90,2024-07-21,04:38:02
DLH479,2024-07-21,04:42:02
BAW9E,2024-07-21,04:43:02
UAL19,2024-07-21,04:46:02
UAL108,2024-07-21,04:48:02
DLH411,2024-07-21,04:51:02
DLH445,2024-07-21,04:56:02
JBU1407,2024-07-21,04:59:02
AUA94,2024-07-21,05:02:02
DLH423,2024-07-21,05:10:02
DAL238,2024-07-21,05:16:02
DLH403,2024-07-21,05:16:02
TRA6007,2024-07-21,05:16:02
ACA896,2024-07-21,05:20:02
BAW216,2024-07-21,05:25:02
BEL52B,2024-07-21,05:29:02
UAL929,2024-07-21,05:29:02
DAL30,2024-07-21,05:33:02
VIR4C,2024-07-21,05:34:02
ACA844,2024-07-21,05:34:02
AAL100,2024-07-21,05:37:02
BAW40F,2024-07-21,05:38:03
BAW20R,2024-07-21,05:47:03
DLH463,2024-07-21,05:48:02
BAW25GP,2024-07-21,05:50:02
BAW81V,2024-07-21,05:50:02
AAL174,2024-07-21,05:51:02
ACA854,2024-07-21,05:51:02
JBU1620,2024-07-21,05:53:02
TRA32T,2024-07-21,05:56:02
N652MP,2024-07-21,05:58:02
UAL999,2024-07-21,05:59:02
TSC154,2024-07-21,06:00:02
UAL110,2024-07-21,06:00:02
