flight,date,time
TOM7NV,2024-07-14,00:03:02
RJA266,2024-07-14,00:09:02
EZY86YA,2024-07-14,00:10:02
EXS89CK,2024-07-14,00:17:02
RUK86YX,2024-07-14,00:21:02
RYR20UA,2024-07-14,00:25:02
TVS46J,2024-07-14,00:29:02
RYR6WN,2024-07-14,00:30:02
RYR19ZF,2024-07-14,00:32:02
EZY15WL,2024-07-14,00:38:02
RUK6920,2024-07-14,00:39:02
EXS5RD,2024-07-14,00:40:02
TOM76M,2024-07-14,00:40:02
RYR6FT,2024-07-14,00:43:02
RYR7VB,2024-07-14,00:52:02
EXS73BU,2024-07-14,00:57:02
EXS64RW,2024-07-14,00:57:02
FDX5213,2024-07-14,01:01:02
WUK95NE,2024-07-14,01:07:02
RUK587N,2024-07-14,01:15:02
EXS1LU,2024-07-14,01:23:02
TOM83M,2024-07-14,01:26:03
EZY12DN,2024-07-14,01:30:02
EZY52WG,2024-07-14,01:36:02
EXS8DF,2024-07-14,01:38:02
EXS1508,2024-07-14,01:42:02
EZY78HD,2024-07-14,01:46:03
EZY48NU,2024-07-14,01:49:02
EIN43N,2024-07-14,01:56:02
EZY87EY,2024-07-14,01:57:02
EXS5RB,2024-07-14,01:58:02
EZY79RN,2024-07-14,02:08:02
EZY91BU,2024-07-14,02:11:03
UAL84,2024-07-14,02:35:02
EZY76EH,2024-07-14,02:42:02
CFG2039,2024-07-14,03:16:02
DLH401,2024-07-14,03:24:02
TOM7WK,2024-07-14,03:38:02
CFG2017,2024-07-14,03:39:02
ELY015,2024-07-14,03:39:02
AFR293,2024-07-14,03:43:02
AFR1T,2024-07-14,03:51:02
AFR345,2024-07-14,04:00:03
EZY29CD,2024-07-14,04:00:03
DLH409,2024-07-14,04:02:02
ACA840,2024-07-14,04:05:02
AFR333,2024-07-14,04:05:02
SWR7C,2024-07-14,04:06:02
FDX5021,2024-07-14,04:06:02
AAL160,2024-07-14,04:13:02
ICE48P,2024-07-14,04:16:03
ADZ762,2024-07-14,04:21:02
ACA832,2024-07-14,04:28:02
DAL96,2024-07-14,04:28:02
DAL82,2024-07-14,04:31:02
TVF82XR,2024-07-14,04:33:02
EZY2912,2024-07-14,04:34:02
AFR327,2024-07-14,04:35:02
N2707,2024-07-14,04:36:02
FDX27,2024-07-14,04:40:02
DLH437,2024-07-14,04:43:02
DLH423,2024-07-14,05:03:02
AFR31J,2024-07-14,05:06:02
SPAR76,2024-07-14,05:06:02
DLH411,2024-07-14,05:09:02
AAL704,2024-07-14,05:11:02
ACA886,2024-07-14,05:20:03
VIR4C,2024-07-14,05:35:02
DLH431,2024-07-14,05:35:02
DHK363,2024-07-14,05:37:02
UAL950,2024-07-14,05:38:02
DAL238,2024-07-14,05:38:02
OCN51,2024-07-14,05:39:02
AAL100,2024-07-14,05:41:02
TRA32T,2024-07-14,05:45:02
BAW25GP,2024-07-14,05:49:02
UAL989,2024-07-14,05:50:02
ETH574,2024-07-14,05:56:03
ACA844,2024-07-14,05:56:03
BAW78,2024-07-14,05:58:02
JBU1620,2024-07-14,06:00:03
