flight,date,time
RYR932T,2022-07-05,00:00:02
EXS8LB,2022-07-05,00:00:02
EZY6306,2022-07-05,00:00:02
RYR1563,2022-07-05,00:03:02
EZY19KG,2022-07-05,00:07:02
EZY53TH,2022-07-05,00:10:02
EZY97PH,2022-07-05,00:12:03
EZY6486,2022-07-05,00:18:02
BCS6TL,2022-07-05,00:18:02
TOM75K,2022-07-05,00:23:02
EXS93BA,2022-07-05,00:27:02
EUW3077,2022-07-05,00:29:02
EXS85GN,2022-07-05,00:30:02
EXS96PX,2022-07-05,00:36:02
RYR74TG,2022-07-05,00:37:02
WUK23GE,2022-07-05,00:40:02
EIN529,2022-07-05,00:41:02
EXS94RD,2022-07-05,00:44:02
RYR583U,2022-07-05,00:44:02
RYR9451,2022-07-05,00:52:02
THY84U,2022-07-05,00:59:02
WUK8130,2022-07-05,01:05:02
RYR57ER,2022-07-05,01:08:02
EZY93TB,2022-07-05,01:10:02
TOM739,2022-07-05,01:12:02
EXS48FW,2022-07-05,01:14:03
TDR712,2022-07-05,01:14:03
TOM2NC,2022-07-05,01:20:02
NYX300,2022-07-05,01:25:02
TOM7PJ,2022-07-05,01:39:02
EZY64TN,2022-07-05,01:46:02
EZY54AL,2022-07-05,01:46:02
VLG8561,2022-07-05,01:49:02
ASL501,2022-07-05,01:51:02
QTR8124,2022-07-05,01:54:02
RYR3084,2022-07-05,02:08:02
TOM3FC,2022-07-05,02:15:02
EXS12PY,2022-07-05,02:20:02
EZY48QK,2022-07-05,02:23:03
AEG462,2022-07-05,02:25:02
BCS92L,2022-07-05,02:28:02
QTR8174,2022-07-05,02:34:02
XRC9001,2022-07-05,02:37:02
TOM8LY,2022-07-05,02:43:02
EZY13CX,2022-07-05,02:55:02
CHG599,2022-07-05,02:56:02
WUK905,2022-07-05,03:03:02
WUK1050,2022-07-05,03:06:02
EXS66WR,2022-07-05,03:07:02
UPS217,2022-07-05,03:09:02
TOM699,2022-07-05,03:09:02
ABD716,2022-07-05,03:15:02
BCS6YG,2022-07-05,03:20:02
QTR8148,2022-07-05,03:25:02
RRR6685,2022-07-05,03:34:02
ETH574,2022-07-05,03:38:02
THY182,2022-07-05,03:41:02
ETH500,2022-07-05,03:56:02
TAY4294,2022-07-05,03:59:02
THY38G,2022-07-05,04:18:02
ETH552,2022-07-05,04:19:02
CLX56M,2022-07-05,04:22:02
TVF89HR,2022-07-05,04:24:02
ICE548,2022-07-05,04:26:02
AAL120P,2022-07-05,04:33:02
